Tempo,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12
137.14,-205.44,94.28,4.41,10.66,-6.63,9.66,-2.77,-0.92,-8.47,-1.89,3.24,0.88,-15.3,-5.45,-14.09,-5.25,-9.8,2.29,-7.13,1.92,0.13,0.12,0.22,0.72,0.46,0.4,0.17,0.16,0.15,0.33,0.73,0.34
96.0,-189.07,100.17,-20.16,35.85,-0.89,1.79,2.87,7.14,-3.76,1.78,-5.84,-0.64,-11.74,0.11,-6.45,-4.63,-3.75,3.1,-5.11,0.13,0.19,0.25,0.53,0.35,0.26,0.36,0.37,0.48,0.57,0.8,0.31,0.24
96.0,-198.1,71.96,10.16,15.64,-12.44,9.85,-2.62,7.96,-8.67,-5.27,-18.23,-3.01,-9.84,-0.3,-2.63,2.6,-3.05,-2.64,-10.19,-2.5,0.5,0.08,0.03,0.04,0.05,0.05,0.16,0.56,0.17,0.11,0.42,0.42
71.11,-144.85,45.57,-11.72,36.09,0.42,9.26,6.4,14.38,-7.36,5.82,-1.13,2.98,-5.72,0.68,2.94,-1.31,0.88,2.88,-5.24,-1.56,0.34,0.32,0.21,0.27,0.32,0.33,0.51,0.74,0.72,0.42,0.23,0.37
83.48,-232.05,47.8,30.65,18.79,19.72,19.59,1.71,8.09,-7.29,9.11,0.95,0.05,-6.76,2.56,-2.74,-1.18,-1.7,-3.83,-2.75,3.41,0.24,0.28,0.19,0.34,0.39,0.27,0.32,0.22,0.21,0.31,0.51,0.32
71.11,-140.13,81.29,-52.44,25.97,-8.82,6.46,4.37,-1.35,-6.61,9.43,-4.71,-6.75,-6.65,-3.28,-15.96,-8.08,-5.06,-2.55,-5.76,1.82,0.63,0.37,0.1,0.19,0.27,0.26,0.45,0.33,0.22,0.47,0.32,0.33
160.0,-109.1,92.43,5.98,3.61,-2.02,18.66,-15.33,-6.51,-17.99,-3.56,-4.92,0.53,-14.6,-3.91,-9.53,-4.8,4.01,-2.93,-6.6,1.13,0.12,0.46,0.26,0.1,0.35,0.66,0.16,0.05,0.15,0.21,0.22,0.14
137.14,-164.7,61.17,-4.72,25.66,-6.4,8.18,-2.81,3.66,-6.35,5.07,2.56,2.58,-3.26,9.28,-3.44,-1.49,-4.76,0.24,-5.2,2.39,0.62,0.36,0.61,0.76,0.62,0.54,0.44,0.42,0.38,0.5,0.54,0.57
120.0,-153.0,54.48,-22.0,24.93,-13.03,7.21,-5.72,-4.54,-7.71,1.78,-2.13,0.6,-11.64,-5.58,-5.53,3.3,-5.6,-1.21,-7.1,1.98,0.3,0.29,0.3,0.23,0.79,0.44,0.15,0.25,0.31,0.51,0.4,0.44
128.0,-275.97,103.86,5.92,22.61,5.79,9.01,-7.67,5.22,-6.01,5.07,-6.66,-0.62,-14.24,-6.2,-9.46,-2.1,-4.96,-2.27,-7.17,-8.58,0.2,0.1,0.4,0.41,0.29,0.11,0.22,0.34,0.36,0.44,0.25,0.28
112.94,-169.3,95.79,-21.99,31.83,-1.7,3.39,-8.54,1.41,-1.64,1.11,-4.62,0.03,-10.72,-2.23,-6.96,-1.69,-6.68,1.26,-4.87,-1.26,0.26,0.59,0.43,0.29,0.48,0.37,0.64,0.38,0.31,0.28,0.32,0.35
112.94,-175.73,73.94,-7.67,23.45,1.04,11.03,3.28,8.07,1.04,5.36,-1.15,5.85,-5.56,4.89,-5.67,0.41,-2.49,5.45,-5.84,-3.03,0.22,0.26,0.44,0.19,0.26,0.19,0.42,0.52,0.54,0.86,0.49,0.47
112.94,-48.97,77.73,-25.36,24.2,0.02,14.8,7.98,13.07,2.76,9.11,-4.95,5.65,-0.28,4.21,-6.29,0.5,-3.01,5.67,0.38,2.85,0.46,0.37,0.55,0.38,0.39,0.39,0.28,0.43,0.25,0.38,0.18,0.32
120.0,-207.63,78.86,11.27,15.01,-6.56,5.99,-7.21,-8.25,-2.94,-0.08,-6.51,4.89,-6.97,7.43,-0.12,-5.14,-4.73,1.2,-1.57,9.85,0.34,0.3,0.34,0.51,0.39,0.27,0.3,0.24,0.35,0.32,0.61,0.43
91.43,-117.0,105.16,-58.14,40.35,-7.35,-2.88,2.01,12.84,-2.35,7.68,-15.56,3.67,-6.52,-2.38,3.14,-8.21,-7.21,-1.76,-5.65,-2.06,0.2,0.12,0.23,0.16,0.16,0.17,0.2,0.1,0.17,0.57,0.34,0.58
87.27,-195.09,93.08,-4.84,28.01,-5.07,2.61,-3.74,1.81,-9.19,-3.57,-13.71,-7.46,-8.05,0.95,-8.53,1.54,-3.04,2.86,-3.49,2.14,0.14,0.37,0.8,0.49,0.19,0.23,0.36,0.39,0.28,0.26,0.22,0.15
160.0,-182.68,82.65,-12.76,47.47,-4.45,13.34,-0.57,7.05,-5.55,-0.75,-1.95,-2.18,-10.1,2.64,-12.05,3.99,-5.4,-0.38,0.63,-0.8,0.08,0.07,0.11,0.19,0.48,0.37,0.47,0.24,0.06,0.05,0.06,0.1
106.67,-198.59,70.81,-4.44,50.47,9.74,1.22,-0.22,0.67,-9.1,-5.73,-7.94,-1.01,-8.81,3.35,-6.02,-4.59,-3.76,-2.21,-11.01,-1.01,0.2,0.51,0.51,0.46,0.46,0.28,0.4,0.3,0.26,0.35,0.54,0.37
106.67,-136.89,98.53,-31.11,9.7,-2.77,-8.67,-1.12,-15.91,0.98,-2.3,-8.99,2.72,-22.91,-5.2,-11.52,-7.54,-11.53,-6.82,-12.87,-0.01,0.2,0.12,0.31,0.14,0.41,0.33,0.1,0.26,0.17,0.25,0.34,0.26
96.0,-391.43,104.43,26.4,30.9,9.64,16.73,4.0,3.43,-2.85,-2.08,-1.78,2.43,-3.86,-2.5,-7.53,-9.89,-12.33,6.68,5.75,-2.42,0.38,0.18,0.11,0.11,0.33,0.23,0.13,0.17,0.34,0.59,0.51,0.45
112.94,-231.15,96.36,3.96,25.08,8.37,29.03,3.51,6.21,-2.94,7.55,-9.55,0.18,-11.64,7.64,1.93,-2.77,-5.41,1.79,-5.24,-1.54,0.45,0.47,0.37,0.38,0.53,0.71,0.33,0.27,0.32,0.4,0.6,0.4
112.94,-84.17,78.56,-3.21,23.9,4.0,9.46,0.81,6.53,2.76,11.41,-3.55,2.97,-2.6,3.51,-7.78,-0.52,-3.48,0.77,-1.27,4.99,0.4,0.32,0.38,0.46,0.38,0.38,0.41,0.55,0.35,0.49,0.5,0.53
112.94,-199.82,95.11,-7.27,18.69,1.7,-4.29,-7.96,-6.12,-11.76,-1.38,-5.55,5.8,-6.75,7.11,-11.7,-3.87,-4.65,5.24,-10.82,4.44,0.42,0.23,0.37,0.51,0.55,0.41,0.47,0.54,0.59,0.54,0.25,0.56
76.8,-192.55,133.11,-30.96,27.43,5.95,3.1,17.69,3.88,3.44,21.0,-5.91,14.75,4.77,-1.11,-4.41,5.7,2.66,6.32,-0.77,5.38,0.66,0.42,0.3,0.35,0.41,0.33,0.51,0.65,0.27,0.3,0.28,0.33
137.14,-206.21,102.9,-43.48,48.38,-11.96,18.93,-15.38,5.48,-6.34,-1.18,-7.88,-7.38,-1.03,5.93,-6.84,-4.75,-6.32,-3.93,-1.93,7.61,0.13,0.09,0.33,0.32,0.27,0.07,0.24,0.42,0.2,0.23,0.19,0.17
91.43,-128.86,59.94,-16.4,25.13,-4.47,13.72,-2.2,8.26,-0.21,5.72,-3.59,0.34,-5.33,-6.28,-2.63,-5.72,-4.78,-1.73,-1.87,8.57,0.27,0.12,0.19,0.43,0.21,0.15,0.11,0.23,0.13,0.3,0.94,0.54
80.0,-248.56,77.12,19.61,42.95,27.98,34.27,7.9,15.5,3.43,13.16,15.6,4.28,-6.84,-0.4,0.67,2.11,-8.86,1.31,0.01,3.75,0.34,0.29,0.24,0.35,0.21,0.29,0.52,0.41,0.3,0.25,0.33,0.36
101.05,-71.71,83.12,-31.15,16.12,-9.14,8.59,1.63,5.13,-5.33,3.53,-6.07,3.7,-5.43,-0.02,-7.35,-2.5,-3.92,4.03,-0.33,0.43,0.51,0.4,0.6,0.34,0.45,0.32,0.28,0.24,0.27,0.64,0.46,0.53
96.0,-214.21,79.66,-13.58,28.53,5.74,21.64,-1.32,1.86,-7.41,-3.4,3.35,0.86,-12.35,-1.57,-3.77,-5.45,-2.18,2.39,-4.42,-3.43,0.35,0.36,0.65,0.43,0.15,0.13,0.17,0.44,0.47,0.29,0.28,0.36
147.69,-195.44,65.39,-45.04,19.6,8.49,19.09,-12.23,12.87,-7.81,-1.57,-4.52,2.94,-9.63,-1.23,-3.23,1.68,-10.19,7.33,1.44,-11.6,0.8,0.4,0.33,0.33,0.28,0.31,0.31,0.31,0.43,0.31,0.22,0.4
120.0,-194.3,84.48,-5.28,16.77,-2.54,12.94,-6.87,-5.96,-1.49,2.07,-1.55,2.57,-5.34,1.43,-7.89,-9.53,-9.94,0.57,-2.19,5.62,0.23,0.19,0.28,0.6,0.64,0.18,0.2,0.26,0.22,0.28,0.33,0.45
174.55,-214.76,60.29,-7.73,29.34,-4.85,0.76,-5.79,9.57,-2.6,2.86,0.84,1.72,-2.31,5.15,-4.43,0.83,-3.96,3.34,-0.74,6.63,0.26,0.42,0.5,0.53,0.41,0.2,0.15,0.11,0.27,0.62,0.45,0.36
112.94,-169.26,61.29,-8.19,25.8,-0.49,2.13,-3.96,5.44,-4.43,3.32,-2.14,5.97,-4.25,3.59,-6.71,-0.87,-4.75,-0.58,-5.67,5.22,0.48,0.22,0.4,0.56,0.42,0.31,0.26,0.23,0.33,0.49,0.56,0.62
128.0,-203.43,95.05,-10.23,23.39,-2.24,10.53,-10.55,-2.81,-10.14,-9.56,-7.1,-11.21,-10.68,-3.75,-9.14,-0.08,-21.8,2.78,-4.66,-7.53,0.08,0.09,0.18,0.35,0.15,0.17,0.21,0.26,0.33,0.35,0.78,0.26
112.94,-434.34,145.72,-73.44,47.96,-17.6,-43.11,6.88,-35.71,-19.22,-4.58,-32.68,-11.45,-14.38,-21.38,2.31,-8.94,-4.51,4.63,-11.16,-1.72,0.13,0.05,0.07,0.17,0.52,0.2,0.09,0.17,0.34,0.55,0.12,0.17
120.0,-211.83,79.84,-15.44,28.01,1.53,11.1,-1.12,-0.68,-3.61,4.02,-3.13,-3.16,-4.24,2.39,-5.39,-0.93,-11.67,-3.66,-10.26,-6.47,0.19,0.17,0.27,0.37,0.2,0.09,0.15,0.32,0.31,0.44,0.5,0.45
120.0,-54.4,73.04,-9.65,13.66,2.99,6.3,0.73,8.96,-2.16,2.04,-6.04,5.19,4.27,8.13,-6.29,-3.69,-6.74,4.5,-6.12,-0.82,0.68,0.42,0.21,0.15,0.27,0.13,0.08,0.16,0.25,0.51,0.52,0.54
147.69,-97.6,46.84,-4.32,20.52,-3.21,0.41,-2.15,-0.29,-11.85,1.05,-7.15,0.26,-4.17,-2.13,-5.53,-0.07,-6.69,0.7,-3.89,6.02,0.49,0.23,0.11,0.14,0.43,0.3,0.1,0.08,0.11,0.36,0.31,0.37
106.67,-247.55,87.77,6.13,29.65,14.86,8.97,-1.17,-2.43,-4.14,0.82,-5.08,-2.54,-8.4,-0.43,-5.72,1.17,-9.48,-9.11,-8.47,-0.5,0.37,0.1,0.23,0.26,0.39,0.2,0.27,0.13,0.04,0.05,0.29,0.7
120.0,-440.11,88.96,-3.34,28.37,7.51,-6.68,12.64,-14.47,-9.86,-6.49,-10.05,1.69,-9.57,6.27,-6.76,-10.87,-5.46,-1.94,-4.97,-7.05,0.46,0.32,0.25,0.22,0.12,0.25,0.4,0.27,0.26,0.4,0.35,0.53
192.0,-170.31,130.68,-14.36,30.52,5.69,5.49,-0.06,8.4,-1.85,-0.99,-7.77,1.9,-4.69,-1.2,1.44,-2.95,-7.46,1.0,-5.0,1.9,0.38,0.28,0.54,0.39,0.26,0.47,0.48,0.62,0.71,0.38,0.45,0.56
120.0,-99.88,69.62,-3.59,1.91,-2.19,7.53,-4.32,3.43,-8.48,-0.7,-12.32,3.32,-9.81,2.81,-14.24,-0.35,-7.07,0.84,-5.73,6.39,0.59,0.22,0.36,0.25,0.15,0.31,0.15,0.32,0.29,0.35,0.45,0.66
101.05,-338.48,86.04,34.95,35.0,0.54,8.72,9.42,1.9,-4.63,-4.33,-2.83,-10.95,-0.82,0.9,-12.3,-1.12,-12.74,0.93,-3.45,0.39,0.11,0.13,0.32,0.15,0.23,0.33,0.17,0.03,0.13,0.22,0.12,0.13
147.69,-245.56,43.14,10.28,36.11,2.15,1.0,6.64,-9.19,10.8,3.07,1.73,8.33,-12.69,10.8,-8.57,3.69,-7.63,-6.03,-8.77,-3.72,0.75,0.38,0.3,0.29,0.31,0.35,0.26,0.27,0.31,0.47,0.47,0.71
83.48,-236.72,76.44,27.88,33.42,4.02,8.62,-6.3,5.8,-5.69,-0.29,-6.61,1.88,-7.63,0.49,-7.37,-0.51,-3.42,5.87,-3.43,0.43,0.15,0.1,0.14,0.12,0.38,0.17,0.17,0.42,0.32,0.55,0.33,0.29
120.0,-94.3,60.78,-9.78,21.28,0.31,12.18,7.67,11.08,0.97,6.69,-8.15,3.07,-3.1,2.3,-10.53,-12.35,-5.63,3.98,7.67,16.0,1.0,0.29,0.18,0.23,0.38,0.56,0.19,0.12,0.23,0.45,0.43,0.64
64.0,-288.14,75.18,51.74,19.61,9.28,-6.37,-2.97,-2.98,-1.04,-0.24,5.71,-1.8,-2.72,-3.91,-8.74,-3.76,-8.51,-9.26,-17.1,-7.15,0.27,0.35,0.17,0.12,0.24,0.14,0.11,0.2,0.41,0.35,0.25,0.43
128.0,-251.54,44.49,-13.99,29.34,-8.91,3.39,4.67,8.12,-11.68,1.23,-4.29,2.22,-9.52,-1.25,-13.09,-1.48,-5.97,-2.91,-6.0,3.15,0.42,0.45,0.24,0.47,0.48,0.34,0.63,0.28,0.19,0.43,0.77,0.69
112.94,-126.11,50.14,-11.92,41.68,-0.56,-4.62,-6.18,-6.48,-3.78,5.67,-0.01,2.63,-4.01,-2.14,-8.51,0.56,-5.28,-4.89,-8.17,1.14,0.24,0.49,0.29,0.27,0.32,0.28,0.27,0.27,0.35,0.46,0.54,0.37
160.0,-251.56,85.4,2.02,22.07,-4.35,5.28,-1.16,5.79,-5.39,-1.49,0.56,7.01,-1.87,0.47,-5.92,-2.57,-2.14,-1.24,-3.77,3.77,0.3,0.19,0.27,0.39,0.62,0.53,0.32,0.13,0.13,0.21,0.29,0.56
192.0,-238.63,68.11,9.98,22.11,11.45,14.11,6.08,14.55,-2.25,11.71,4.19,12.2,-2.47,4.92,-4.28,7.74,-3.78,-0.76,-9.21,-0.63,0.32,0.32,0.68,0.73,0.72,0.56,0.4,0.3,0.35,0.42,0.4,0.43
66.21,-121.79,110.15,-19.84,25.47,-2.29,5.19,-5.34,10.55,-1.3,1.15,-10.64,7.49,-7.79,7.34,-0.26,1.88,-9.98,-0.89,-10.04,-2.33,0.5,0.32,0.09,0.09,0.19,0.13,0.08,0.2,0.33,0.13,0.3,0.38
128.0,-140.31,72.17,14.38,32.7,18.69,12.59,0.31,10.65,4.16,12.64,-3.5,1.36,-0.38,1.88,-4.26,0.06,-2.32,3.85,-5.51,-1.46,0.32,0.2,0.24,0.29,0.52,0.46,0.33,0.44,0.43,0.5,0.53,0.65
83.48,-238.33,89.32,-13.81,45.45,0.2,5.68,-1.21,-0.81,-6.33,2.32,-8.23,-1.32,-10.16,-2.67,-7.06,-0.23,-6.02,0.36,-0.83,4.23,0.38,0.27,0.71,0.77,0.29,0.62,0.47,0.12,0.11,0.3,0.29,0.32
96.0,-299.31,105.91,-2.53,21.61,18.66,17.56,5.46,11.26,10.76,11.85,6.46,9.78,2.32,4.7,-4.27,0.18,-1.93,2.59,-5.97,-3.34,0.43,0.16,0.27,0.55,0.78,0.73,0.83,0.57,0.22,0.17,0.19,0.47
120.0,-393.62,70.78,46.36,21.94,12.57,22.48,3.63,13.08,3.14,11.94,0.56,7.96,-0.35,2.84,-2.58,0.95,-5.35,-2.05,-3.91,2.21,0.62,0.42,0.38,0.51,0.47,0.53,0.78,0.64,0.58,0.65,0.72,0.59
101.05,-39.65,79.79,-23.03,18.59,-14.75,0.65,-3.06,1.65,-11.52,-1.22,-6.12,0.28,-15.12,1.49,-7.59,-6.33,-11.55,-0.15,-3.52,-1.25,0.28,0.26,0.31,0.33,0.31,0.1,0.15,0.11,0.24,0.29,0.45,0.83
91.43,-181.87,79.87,-7.1,26.84,-18.35,-2.89,4.51,13.0,-2.79,-9.57,-9.01,2.24,-2.99,2.82,-4.99,4.02,-6.35,-4.01,-7.84,0.56,0.33,0.1,0.14,0.08,0.15,0.1,0.08,0.1,0.17,0.5,0.32,0.51
87.27,-365.95,86.97,2.02,27.26,2.57,6.28,-8.19,6.63,-3.34,-3.73,-19.32,-12.69,-12.68,-4.62,-12.78,-5.31,-16.58,-14.75,-10.27,-3.03,0.19,0.14,0.31,0.2,0.14,0.1,0.1,0.75,0.62,0.14,0.23,0.12
101.05,-271.08,79.03,13.93,10.85,7.16,5.79,-0.68,-3.31,-8.73,-1.79,-10.47,1.04,-10.53,-2.08,2.72,10.32,-11.07,1.52,-8.0,-1.29,0.36,0.24,0.32,0.22,0.32,0.32,0.38,0.24,0.25,0.59,0.28,0.35
147.69,-147.78,79.8,-38.04,24.7,-9.05,5.37,-9.22,13.26,-9.7,3.06,-9.15,0.6,-7.92,-1.97,-0.8,-3.06,4.81,1.98,-7.35,2.09,0.23,0.16,0.19,0.18,0.32,0.14,0.28,0.58,0.25,0.48,0.47,0.38
128.0,-190.72,82.64,-20.17,16.92,-3.94,7.49,-5.97,-0.73,-6.71,6.45,-5.17,4.01,-9.65,1.3,-10.87,-2.61,-5.0,3.09,-4.94,-3.07,0.49,0.47,0.47,0.32,0.24,0.51,0.26,0.24,0.29,0.44,0.39,0.3
160.0,-370.21,96.25,-7.24,17.92,-18.35,-17.1,-4.03,-12.53,-16.45,-11.63,-14.45,-20.85,-13.42,-9.79,-12.02,-8.74,-13.69,-12.63,-9.15,2.94,0.65,0.43,0.1,0.12,0.13,0.04,0.06,0.57,0.38,0.22,0.19,0.31
160.0,-201.9,109.73,-38.96,58.76,0.92,6.51,-8.74,9.92,-14.2,7.06,-9.25,-4.37,-2.07,-7.91,-8.73,-4.29,-5.86,-2.3,2.31,-5.28,0.34,0.14,0.31,0.33,0.33,0.27,0.14,0.1,0.18,0.41,0.31,0.29
101.05,-124.57,108.88,-8.54,35.32,-4.73,11.85,-4.89,8.99,-1.11,-1.87,-9.06,-1.41,-3.58,-3.15,-3.71,-6.49,-8.46,-2.43,-9.4,-1.95,0.3,0.29,0.38,0.24,0.51,0.49,0.29,0.3,0.3,0.41,0.29,0.42
106.67,-123.95,91.61,-17.5,31.64,-3.95,1.62,-1.58,-1.12,2.55,-2.79,-6.77,-0.38,-13.73,-4.84,-4.23,-0.05,-8.38,0.38,-4.5,1.26,0.36,0.27,0.47,0.25,0.27,0.38,0.23,0.47,0.31,0.25,0.23,0.41
106.67,-165.39,69.9,-11.92,36.51,6.07,-1.0,-5.42,7.79,-6.08,5.26,-4.43,2.29,-6.13,3.92,-3.84,-5.65,-4.56,4.2,-4.9,0.33,0.33,0.4,0.51,0.54,0.15,0.13,0.17,0.4,0.6,0.46,0.33,0.36
137.14,-268.97,87.97,-14.16,34.72,16.95,14.06,5.17,-1.06,-14.53,-7.5,-21.23,-10.11,-7.22,10.55,0.62,-0.55,-13.15,-15.08,-15.35,-3.27,0.34,0.09,0.08,0.11,0.38,0.12,0.13,0.1,0.19,0.6,0.52,0.65
120.0,-101.73,87.6,-37.7,25.64,-10.5,10.59,-0.81,-0.25,-0.17,-0.51,-1.25,1.02,-7.45,2.9,-8.54,2.61,-2.71,1.19,-2.33,1.16,0.24,0.19,0.48,0.26,0.39,0.29,0.25,0.48,0.36,0.55,0.34,0.57
120.0,-223.15,53.56,-24.45,19.93,-12.65,-4.13,-2.13,-6.13,-0.58,-7.84,-10.46,-6.22,-20.88,-0.95,-7.45,-2.02,-3.78,-2.63,-8.37,1.49,0.14,0.34,0.13,0.17,0.13,0.44,0.26,0.21,0.32,0.09,0.05,0.06
80.0,-180.66,117.57,-12.99,13.74,3.89,6.29,-2.08,2.21,-6.6,-6.91,-11.37,-5.16,-7.71,-1.86,-4.58,-3.26,-7.48,-4.76,-4.54,-0.11,0.14,0.09,0.08,0.06,0.12,0.43,0.27,0.3,0.3,0.29,0.53,0.29
96.0,-105.67,112.66,-17.2,25.96,8.66,13.47,-1.82,9.64,-1.28,12.63,-3.0,4.29,-4.23,5.72,-1.46,4.71,-2.67,-0.44,-3.29,4.4,0.43,0.31,0.22,0.47,0.53,0.55,0.65,0.51,0.42,0.43,0.44,0.31
192.0,-370.11,180.89,-125.25,20.19,-13.27,-55.01,6.1,-31.17,-25.34,10.08,-16.59,-5.04,-6.23,-23.96,-0.61,-7.6,-4.41,11.18,-10.3,-0.26,0.19,0.24,0.4,0.27,0.45,0.8,0.49,0.37,0.21,0.27,0.27,0.09
128.0,-92.75,66.46,-14.08,18.95,-14.05,0.92,-7.22,-6.39,-3.75,2.46,-4.28,-0.78,-8.05,-1.11,-12.44,-1.03,-7.25,-3.36,-0.67,7.35,0.27,0.37,0.41,0.63,0.63,0.28,0.34,0.33,0.37,0.37,0.43,0.43
192.0,-130.76,89.11,-20.77,43.57,-0.83,14.7,2.37,4.34,-2.19,3.87,-5.72,7.62,-7.27,-1.39,-7.19,0.2,-8.31,-0.65,-7.38,-0.06,0.47,0.36,0.52,0.7,0.46,0.44,0.57,0.66,0.46,0.32,0.38,0.53
91.43,-186.5,99.98,-16.42,27.61,-13.18,16.97,-4.63,-1.33,-1.56,7.34,-2.15,4.22,-8.36,1.4,3.93,14.04,2.08,-5.09,-7.47,-4.27,0.27,0.38,0.21,0.31,0.18,0.21,0.45,0.4,0.66,0.33,0.22,0.2
128.0,-141.88,67.37,-9.12,25.05,-8.02,-0.05,-15.82,-4.35,-9.61,-3.16,-3.49,-2.12,-7.75,1.17,-7.15,-3.36,-6.36,-3.04,-4.22,2.86,0.51,0.31,0.23,0.23,0.39,0.41,0.51,0.56,0.37,0.47,0.49,0.52
160.0,-166.1,62.43,29.49,29.79,11.86,20.1,9.41,7.69,2.12,4.41,-1.85,1.05,-5.15,1.1,-2.75,3.55,-6.82,-1.17,-5.04,0.48,0.37,0.19,0.11,0.2,0.33,0.32,0.3,0.24,0.33,0.7,0.32,0.34
120.0,-361.26,101.11,-18.53,31.74,-10.95,-0.95,-9.08,-16.1,-8.8,-11.83,-14.12,-3.49,-6.05,-3.02,-10.29,-7.85,-6.89,2.33,-1.46,2.0,0.38,0.8,0.26,0.19,0.07,0.08,0.13,0.06,0.07,0.13,0.35,0.19
160.0,-194.93,91.19,8.92,15.42,2.99,17.6,16.91,13.2,-1.8,11.3,2.09,4.61,-11.69,-2.9,1.05,-0.35,-9.38,-2.19,-3.35,0.79,0.62,0.62,0.52,0.33,0.4,0.4,0.42,0.6,0.68,0.47,0.49,0.72
80.0,-300.36,105.37,-64.78,44.16,-1.84,-0.33,0.16,-0.52,-8.82,-5.08,-7.5,-5.31,-9.13,-9.27,-6.36,-4.28,-2.12,4.98,-15.41,-7.13,0.17,0.52,0.2,0.11,0.05,0.14,0.34,0.27,0.56,0.23,0.32,0.19
